Timestamp,Emotion,Confidence
2025-07-14T23:24:09.716844,Angry,33.1
2025-07-14T23:24:09.900362,Sad,33.4
2025-07-14T23:24:10.077917,Fear,30.1
2025-07-14T23:24:10.251812,Angry,30.2
2025-07-14T23:24:10.433120,Sad,37.1
2025-07-14T23:24:10.632044,Sad,29.0
2025-07-14T23:24:10.808664,Angry,33.1
2025-07-14T23:24:10.989905,Sad,36.5
2025-07-14T23:24:11.174798,Sad,27.9
2025-07-14T23:24:11.357690,Fear,29.6
2025-07-14T23:24:11.531483,Neutral,38.4
2025-07-14T23:24:11.712289,Neutral,26.4
2025-07-14T23:24:11.895661,Neutral,30.0
2025-07-14T23:24:12.079463,Fear,29.3
2025-07-14T23:24:12.272507,Sad,29.4
2025-07-14T23:24:12.447324,Angry,28.2
2025-07-14T23:24:12.640463,Sad,26.9
2025-07-14T23:24:12.823116,Neutral,36.3
2025-07-14T23:24:13.023425,Sad,34.7
2025-07-14T23:24:13.199229,Sad,27.0
2025-07-14T23:24:13.394025,Angry,28.8
2025-07-14T23:24:13.564061,Fear,30.9
2025-07-14T23:24:13.746049,Angry,28.1
2025-07-14T23:24:13.924296,Fear,30.8
2025-07-14T23:24:14.101954,Angry,26.8
2025-07-14T23:24:14.297805,Neutral,28.7
2025-07-14T23:24:14.482082,Angry,30.6
2025-07-14T23:24:14.671998,Angry,36.3
2025-07-14T23:24:14.865714,Neutral,28.6
2025-07-14T23:24:15.049169,Neutral,28.2
2025-07-14T23:24:15.234048,Neutral,28.1
2025-07-14T23:24:15.410939,Neutral,32.1
2025-07-14T23:24:15.596402,Neutral,36.5
2025-07-14T23:24:15.791634,Neutral,32.7
2025-07-14T23:24:15.957207,Neutral,31.8
2025-07-14T23:24:16.144295,Neutral,46.8
2025-07-14T23:24:17.959626,Neutral,40.8
2025-07-14T23:24:18.162805,Neutral,28.1
2025-07-14T23:24:18.338445,Neutral,31.8
2025-07-14T23:24:18.529997,Neutral,37.6
2025-07-14T23:24:18.721791,Neutral,46.3
2025-07-14T23:24:18.904777,Neutral,34.4
2025-07-14T23:24:19.103291,Neutral,31.1
2025-07-14T23:24:19.289893,Fear,44.8
2025-07-14T23:24:19.470936,Neutral,42.3
2025-07-14T23:24:19.665813,Neutral,46.1
2025-07-14T23:24:19.849095,Fear,29.4
2025-07-14T23:24:20.037307,Fear,30.0
2025-07-14T23:24:20.216646,Fear,32.8
2025-07-14T23:24:20.391872,Fear,38.8
2025-07-14T23:24:20.576378,Fear,39.4
2025-07-14T23:24:20.750956,Fear,36.3
2025-07-14T23:24:20.931011,Fear,40.7
